NAMESPACE       NAME                                     TYPE           CLUSTER-IP      EXTERNAL-IP                                  PORT(S)                                                          AGE
aai             aai                                      NodePort       10.43.239.81    <none>                                       8080:30232/TCP,8443:30233/TCP                                    5d
aai             aai-aai-babel                            NodePort       10.43.135.23    <none>                                       9516:30279/TCP                                                   5d
aai             aai-aai-cassandra                        ClusterIP      None            <none>                                       9042/TCP,9160/TCP                                                5d
aai             aai-aai-champ                            NodePort       10.43.3.88      <none>                                       9522:30278/TCP                                                   5d
aai             aai-aai-data-router                      NodePort       10.43.184.67    <none>                                       9502:30265/TCP                                                   5d
aai             aai-aai-eis                              NodePort       10.43.247.151   <none>                                       9443:30277/TCP                                                   5d
aai             aai-aai-elasticsearch                    NodePort       10.43.107.244   <none>                                       9200:30292/TCP                                                   5d
aai             aai-aai-enricher-service                 NodePort       10.43.2.124     <none>                                       9505:30221/TCP                                                   5d
aai             aai-aai-gizmo                            NodePort       10.43.180.103   <none>                                       9520:30266/TCP                                                   5d
aai             aai-aai-ncso-adapter                     NodePort       10.43.153.60    <none>                                       8080:30287/TCP                                                   5d
aai             aai-aai-planitia                         NodePort       10.43.208.143   <none>                                       8000:30272/TCP                                                   5d
aai             aai-aai-spike                            NodePort       10.43.63.46     <none>                                       9518:30261/TCP                                                   5d
aai             aai-aquarius                             NodePort       10.43.206.72    <none>                                       9519:30273/TCP,9521:30274/TCP                                    5d
aai             aai-arm-adapter                          NodePort       10.43.205.228   <none>                                       8081:30290/TCP                                                   5d
aai             aai-modelloader                          NodePort       10.43.115.132   <none>                                       9500:30210/TCP,8443:30229/TCP                                    5d
aai             aai-rabbitmq                             NodePort       10.43.198.110   <none>                                       4369:32189/TCP,5672:32679/TCP,25672:32351/TCP,15672:31672/TCP    5d
aai             aai-resources                            ClusterIP      None            <none>                                       8447/TCP,5005/TCP                                                5d
aai             aai-search-data                          NodePort       10.43.148.216   <none>                                       9509:30262/TCP                                                   5d
aai             aai-sparky-be                            NodePort       10.43.73.165    <none>                                       8000:30217/TCP                                                   5d
aai             aai-tabular                              NodePort       10.43.56.35     <none>                                       9510:30289/TCP                                                   5d
aai             aai-traversal                            ClusterIP      None            <none>                                       8446/TCP,5005/TCP                                                5d
